c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
508954,Customer#000508954,692619.6838,3072.07,ETHIOPIA,zgafElAXecB3I7Ee1a9B,15-880-510-9487,ickly regular deposits. carefully regular instructions engage deposits. foxes are caref
1392475,Customer#001392475,685464.4086,593.26,SAUDI ARABIA, PHuNdZucsuZvpiKqcsBVPY0R jeHSBZL,30-640-220-2095, boldly-- slyly careful requests sleep after the slyly regular depo
909427,Customer#000909427,609974.1707,8837.74,IRAN,"oJXjfKXPK,8qUUDwWViXC5tMcooD",20-484-919-7055,"ilent, regular requests wake slyly regular pinto beans. slyly unusual reque"
1190435,Customer#001190435,594047.4959,6803.54,EGYPT,MJmKcppfVCP2kxKU3JmlYiXp1tdh,14-221-230-8777, ideas use carefully in place of the e
1237537,Customer#001237537,593582.0947,7840.17,RUSSIA,"FNG6WgB1mopyyY,ajQTU qUPW5o",32-367-120-4327,nag carefully about the regular packages. carefully reg
1115857,Customer#001115857,588791.8354,6068.99,UNITED STATES,0nCbSWJ8dbmomLBk2g5zSmeRSOPkP,34-218-359-8342,ly courts. slyly regular dugouts run quickly. f
1474861,Customer#001474861,585693.7754,7688.95,VIETNAM,6cg7FtblHmXnMIjqK11pT47Lsx2,31-595-929-5136,ideas sleep furiously special 
429350,Customer#000429350,581596.9390,5224.16,CHINA,40FTZSkPtgIieo6VIdh3LtgEtMxOyYQ5D,28-540-805-2532,"c sheaves. ironic, unusual re"
674998,Customer#000674998,580204.7695,6168.71,EGYPT,DCf8w0TIYkqH9qrNkG,14-610-681-2931,ly ironic requests. unusual packages eat furious
1112827,Customer#001112827,569126.3316,3257.63,INDONESIA,"CNJ mv7EW7 CDF,YqGglwMMVewyV ",19-965-849-1871,"pecial deposits. unusual, regular foxes are furiously according to the exp"
1316338,Customer#001316338,565082.7888,8682.95,INDIA,bfz3FH  qaULsV7oiCn66z6ezkZBpcl,18-793-610-3832,"equests. regular, even excuses doze slyly against the blithely even accounts. slyly regular dinos "
810982,Customer#000810982,553813.1851,-271.93,ETHIOPIA,MsCATnQLquQy9e6tilHI8owalH1sXU,15-875-376-8829," affix carefully alongside of the ironic, regular packages. ideas wake blithely carefully even courts. ideas"
64817,Customer#000064817,552359.1583,7845.30,INDIA,"JysrDGIw ,lRUadxsDtFXMnDbQkS",18-735-817-2134,ed packages haggle along the blithely special deposits. regular foxes according 
847699,Customer#000847699,552071.8454,2727.81,JAPAN,9l7WTZv02HQEah3qtF4hhOc,22-777-367-1860,posits wake fluffily! deposits are across the fluffily even pinto beans; busily ironic ex
699235,Customer#000699235,551642.8202,4112.58,ETHIOPIA,"7t8Q72Bi,hQT,G3 Fymnz0m",15-160-166-5610,"nent, ironic deposits are carefully fluffily regular requests. slyly silent accounts after the "
865048,Customer#000865048,545840.0992,9545.74,MOZAMBIQUE,"62uPVKCQVD,PinOuNn",26-612-365-3605,tes. carefully regular platelets use. furiously ironic grouches cajole slyly; blithely regular foxes
1368475,Customer#001368475,545199.4066,3994.02,ETHIOPIA,"N,YoHXSQ0hbdO3PVC5XhRhM",15-407-148-1978, unusual deposits are slyly ironic foxes. requests sleep 
1019962,Customer#001019962,531793.4135,2068.90,JORDAN,sdeCfOgE45c8TK6ShHX6ud4gHMoH1K39r,23-631-786-6025,yly. even requests nag quickly ironic deposits. regular packages sleep carefully according to the even accoun
386729,Customer#000386729,527969.3548,6919.05,CHINA,jykMCARS79FV,28-775-955-8863,en Tiresias after the never regular deposits boost fluffily fluffily final deposits. regular deposits p
1025959,Customer#001025959,523642.4878,1361.76,UNITED KINGDOM,ThP3s6XZlJ9 k3fMfrdMeG6JXwvYqKwFq,33-721-434-8305,"und the special, ironic packages. furiously ironic instructions wake against the ironic, final requests. unusu"
